jpeg-55,jpeg-75,jpeg-95
0.093100559,0.08665559,0.088033069
0.049762195,0.046341379,0.046455246
0.103633803,0.091088558,0.090138099
0.076453836,0.072207049,0.070460698
0.112780976,0.10258907,0.102100068
0.085315031,0.076791352,0.081397273
0.080009124,0.074463203,0.072497806
0.050803348,0.04681355,0.046104687
0.059867764,0.057648507,0.057328277
0.054912731,0.050772058,0.051374877
0.056811268,0.051977622,0.05275463
0.095602854,0.087759523,0.08870832
0.100065538,0.089634469,0.08989871
0.123057643,0.109988248,0.104416176
0.141493044,0.133452256,0.135999153
0.129486911,0.120063273,0.119477699
0.149548651,0.137511476,0.136939747
0.09945755,0.09469125,0.095152928
0.097252902,0.089322912,0.091196404
0.145345871,0.131362737,0.132703054
0.152440288,0.139529623,0.140054691
0.150271921,0.138201833,0.1355121
0.147119488,0.140538889,0.139800777
0.085985132,0.079587904,0.08234753
0.080891805,0.076636558,0.080879369
0.083484709,0.077762632,0.080849543
0.10955304,0.10186205,0.110692501
0.102887552,0.092720579,0.092682489
0.090961843,0.083604702,0.090949565
0.111845706,0.10422077,0.113622169
0.197438298,0.16164688,0.13472749
0.112315585,0.095776588,0.086271854
0.079932761,0.074509624,0.072660198
0.048753436,0.047458339,0.048238057
0.054604793,0.05020383,0.05311846
0.08286276,0.077040314,0.076916007
0.100184869,0.098740799,0.105250495
0.181596478,0.159744271,0.137472468
0.095774601,0.089099022,0.080325292
0.263989865,0.239996331,0.214300922
0.227110074,0.198581148,0.182797003
0.315988529,0.281747659,0.246968035
0.106516935,0.10024062,0.09827479
0.152337161,0.137596607,0.12454517
0.0920114,0.089518221,0.091358524
0.132235103,0.120370219,0.108166426
0.098909924,0.088000844,0.088439038
0.179070879,0.157728074,0.131823
0.118339727,0.10928739,0.098661639
0.161857696,0.131912578,0.114335671
0.143989581,0.133815138,0.130596881
0.113481992,0.11159954,0.108115203
0.113796429,0.103836345,0.103418326
0.09791654,0.092348787,0.08779719
0.12105677,0.111526472,0.103945607
0.104673154,0.101565862,0.101245003
0.116174515,0.112061835,0.104495219
