median-3,median-5,median-7,median-9
0.391106676,0.393560877,0.382352127,0.363569501
0.281748968,0.278003172,0.259385471,0.241772655
0.309786752,0.321502021,0.302765436,0.285756546
0.325080371,0.316461348,0.32024489,0.314460547
0.328418736,0.319014047,0.290262359,0.28782158
0.320779368,0.313637097,0.273812053,0.245032632
0.318572907,0.355712661,0.365704931,0.36517406
0.29378362,0.274203753,0.25779048,0.24182468
0.286277121,0.269517482,0.238157692,0.216036116
0.284619493,0.270134048,0.24713113,0.229589318
0.298810109,0.282590633,0.264011338,0.248473169
0.307871523,0.287223813,0.271744895,0.252170396
0.311471914,0.316342705,0.306112111,0.288148098
0.303170361,0.306172645,0.292342477,0.270500116
0.295281625,0.287834504,0.263528222,0.23654556
0.318746154,0.298196819,0.279942636,0.256469163
0.294379034,0.28142155,0.266489491,0.251465016
0.27715285,0.26029907,0.237953175,0.216055236
0.340800478,0.320774667,0.318147284,0.303590331
0.32342886,0.329149991,0.317547505,0.302722563
0.358983439,0.373913392,0.364680427,0.360596501
0.412030056,0.406394921,0.39692743,0.386738087
0.376240788,0.385591526,0.378973078,0.353448908
0.347997031,0.363901975,0.346035106,0.332524525
0.344004722,0.338636161,0.330996947,0.31234277
0.336872864,0.329963591,0.303992277,0.277201232
0.307184234,0.301807165,0.288488261,0.277378601
0.314278135,0.312474846,0.291555367,0.279006886
0.297821737,0.298707637,0.288751622,0.270481033
0.339444829,0.342789492,0.332942106,0.307047344
0.323679775,0.330397114,0.323790482,0.31990697
0.327697021,0.315454762,0.301985686,0.282150837
0.304915541,0.284086201,0.265993185,0.23950015
0.307674084,0.29031477,0.261079891,0.236613962
0.301204782,0.275551826,0.242623511,0.228850888
0.287590197,0.27270111,0.242039101,0.215270019
0.268626416,0.246011468,0.215746321,0.193116718
0.301335537,0.292161251,0.266514712,0.24910072
0.278436281,0.266720617,0.240335046,0.215463753
0.286812707,0.268660781,0.243041885,0.222082591
0.295052319,0.278792411,0.246525535,0.225424756
0.290923825,0.266126279,0.241384551,0.225426063
0.363416207,0.365157014,0.353343165,0.333109421
0.33347505,0.335231558,0.31994899,0.309235971
0.336827014,0.337111369,0.332331855,0.311270707
0.341413616,0.371148453,0.362185658,0.352053128
0.31780415,0.33164098,0.331360126,0.318731077
0.332728014,0.336514457,0.332208722,0.333534772
0.324079952,0.32005824,0.305601137,0.299165548
0.297494774,0.275210242,0.251607171,0.22965952
0.325766373,0.332674605,0.313050772,0.293121132
0.35242432,0.361713376,0.360664907,0.348577292
0.340220148,0.329678814,0.314446394,0.298446298
0.294161585,0.286807414,0.264906787,0.235376613
0.30678037,0.296295092,0.276881106,0.251287787
0.375038532,0.358949434,0.334165168,0.313530471
0.369436171,0.362742404,0.338099825,0.316795105
0.358709153,0.357164394,0.342892289,0.320699091
0.339356181,0.349436939,0.350531645,0.342914428
0.327364638,0.322241073,0.304917522,0.276368991
0.354186856,0.397766337,0.417177361,0.389889644
0.329078783,0.307987369,0.292794118,0.267239627
0.337582466,0.353955541,0.330256766,0.309232417
0.308029477,0.310978263,0.299178462,0.284921165
0.312755454,0.310286947,0.296147652,0.281112583
0.312623553,0.313386144,0.302444208,0.27795211
0.303711354,0.29722282,0.284256311,0.269643974
0.319654704,0.284567183,0.267967993,0.256430509
0.219726877,0.210947042,0.204619033,0.197049717
0.269829901,0.249675246,0.22493539,0.19800362
0.280453902,0.252037965,0.224969397,0.200848109
0.298528495,0.291614284,0.266178165,0.248305904
0.293047914,0.286461845,0.262615338,0.239820245
0.297264035,0.28473734,0.26147232,0.240461599
0.281897182,0.264336514,0.2414284,0.22332293
