average-3,average-5,gaussian-3,gaussian-5
0.192078059,0.182983533,0.192868775,0.178928507
0.179863145,0.17264965,0.181927209,0.173302982
0.194262453,0.18833021,0.198101812,0.19517065
0.146577335,0.133291411,0.150062495,0.141483818
0.141553267,0.126399968,0.142171991,0.131347345
0.198984559,0.184842814,0.199691181,0.189150421
0.206499234,0.199882583,0.209765455,0.199462944
0.195655025,0.185221686,0.194723431,0.191630324
0.182949476,0.161081019,0.189939194,0.173124597
0.139895332,0.146711641,0.139442084,0.143523781
0.128088392,0.131868258,0.127413459,0.130214836
0.129738484,0.133895955,0.128743481,0.133003312
0.153221997,0.144527035,0.151397039,0.148949442
0.159942266,0.164811511,0.157782646,0.163820738
0.131905274,0.125953311,0.132673442,0.12976667
0.14023228,0.131877596,0.139624078,0.135504774
0.235152182,0.252951121,0.221686464,0.244119494
0.149759173,0.171943526,0.142347365,0.158772813
0.121457229,0.138438541,0.123140959,0.123012181
0.076207629,0.091133277,0.071926665,0.082108535
0.092086672,0.109600558,0.085576707,0.099315909
0.121048667,0.127082049,0.119891149,0.123555548
0.136857219,0.140175058,0.138544034,0.134792854
0.225829301,0.219303078,0.224119356,0.228000077
0.151223288,0.161085484,0.14599145,0.14908573
0.358395823,0.369026851,0.347446259,0.344383833
0.309673973,0.347269467,0.302369061,0.310106056
0.394824985,0.399021084,0.380961356,0.380573903
0.151873732,0.164025234,0.145292959,0.154989217
0.174106836,0.164432115,0.172845905,0.168912648
0.100517943,0.084152406,0.101042261,0.092528065
0.155577442,0.146336474,0.153564532,0.151530151
0.147771364,0.137459141,0.148018364,0.144056814
0.183635727,0.184569952,0.177791608,0.185913838
0.16334494,0.164753853,0.16040777,0.164293321
0.232808039,0.232446608,0.230636353,0.235821362
0.173519219,0.165405963,0.172806341,0.169157975
0.122026349,0.106071609,0.124484201,0.118147128
0.159637357,0.128648273,0.159447903,0.150633021
0.128236224,0.124506476,0.127005265,0.126608791
0.155650826,0.139636952,0.156350552,0.14760138
0.125732366,0.102548051,0.127364095,0.117835102
0.126179754,0.115109299,0.124856003,0.120671896
0.155799624,0.175439296,0.144170612,0.161289838
0.148940711,0.171094158,0.138478369,0.160139935
0.140573038,0.153127152,0.13150293,0.149878236
0.141095863,0.139647102,0.133196586,0.140709536
0.106717366,0.102735465,0.103910874,0.105250531
0.120405742,0.114430991,0.120210625,0.11925334
0.208260425,0.220778128,0.205718945,0.208796897
0.155109027,0.141253151,0.156526733,0.151269417
0.251581371,0.247733194,0.252758291,0.255927789
0.184264334,0.159075751,0.18699656,0.16536037
0.181118694,0.156416324,0.183059871,0.172447024
0.207043088,0.194182537,0.209605239,0.199860523
0.177061815,0.154551773,0.178755249,0.167087396
0.122530877,0.124930388,0.118270318,0.123833076
0.141061585,0.149335017,0.138723946,0.142871053
0.176800465,0.172167904,0.183783838,0.183989293
0.12370553,0.124135282,0.120305683,0.124418369
0.244303197,0.229526817,0.247818952,0.239848961
0.163251571,0.174156481,0.157430494,0.171435157
0.185921208,0.195785374,0.181966244,0.197162729
0.195885208,0.206164062,0.182146693,0.202080721
0.124073976,0.108891906,0.126106794,0.118048911
0.113953468,0.097085517,0.115925044,0.105278317
0.107610823,0.113443564,0.104024942,0.112765381
0.126657802,0.132033825,0.120577265,0.131611691
0.141498034,0.135595885,0.138122224,0.137344003
0.179404478,0.169678795,0.175410558,0.172991568
0.172972549,0.180044683,0.168668894,0.17990002
0.160753693,0.160435007,0.156704364,0.15807258
0.126516971,0.127229767,0.120798782,0.127969479
0.115317833,0.121482053,0.109378343,0.119271631
0.232883399,0.256919297,0.221232982,0.240397302
0.172485981,0.177588108,0.165418671,0.169899133
0.213465588,0.187052664,0.213825511,0.197544205
0.10217716,0.112510767,0.096643708,0.10814627
0.177910128,0.156100686,0.175658252,0.166978631
0.178488607,0.158853465,0.176210094,0.168095176
0.182475386,0.211824641,0.175094998,0.192325116
0.168466046,0.154678693,0.168887232,0.161612737
0.096496114,0.095751034,0.095567659,0.096531433
0.137172039,0.13788379,0.132097543,0.140466728
0.229150283,0.227646795,0.228812808,0.226752081
0.250625216,0.235220234,0.253447227,0.243687405
0.210077588,0.210244565,0.200385115,0.201817135
0.210478921,0.197740869,0.209772336,0.201365284
0.230073224,0.211609697,0.224244937,0.219900569
0.271216118,0.245394187,0.27082757,0.2648191
0.26958243,0.274303312,0.262488322,0.272263873
0.245973283,0.21940748,0.243686335,0.238203972
0.290710639,0.314993649,0.280327848,0.300369822
0.197849938,0.205714363,0.191947673,0.19594541
0.211550276,0.216831698,0.208750625,0.207037618
0.16162235,0.191261495,0.15289369,0.170393378
0.313545141,0.344393232,0.301362009,0.326497657
0.116074851,0.115172914,0.111195424,0.11852971
0.106674633,0.106759677,0.105335027,0.110253165
0.113735511,0.108210384,0.120514103,0.110963793
0.248417456,0.290542863,0.228401643,0.270066773
0.184709073,0.250511206,0.16787447,0.202426852
0.225708862,0.246317246,0.22108592,0.229358349
0.158883395,0.132973729,0.158961322,0.146970859
0.284798209,0.279620546,0.292230891,0.283031949
0.258837158,0.273627451,0.257006271,0.268969707
0.359338582,0.330983475,0.366767068,0.353084366
0.123326872,0.116870457,0.120864471,0.115254705
0.216808022,0.226128399,0.210417014,0.200881476
0.230173562,0.221933324,0.233419511,0.230948611
0.144638963,0.129695503,0.140929254,0.139236675
0.170463046,0.156149167,0.174769472,0.168166372
0.151372408,0.134605165,0.151175649,0.145775607
0.155423471,0.149932369,0.148832691,0.152601903
0.28021166,0.27930803,0.269369712,0.275417958
0.244574443,0.222304282,0.237728282,0.236784193
0.153963081,0.159339165,0.149500163,0.153583958
0.079909285,0.100125,0.076096,0.08727821
0.071767866,0.091222426,0.066998588,0.080584092
0.046195557,0.068278499,0.041753361,0.052159286
0.059970891,0.077272764,0.056344391,0.064922853
0.075061453,0.091167045,0.069361287,0.082328865
0.131793559,0.141058902,0.129644845,0.139590497
0.084479176,0.104272253,0.07753172,0.090239979
0.123828002,0.12096535,0.124682061,0.120724523
0.139818276,0.123181081,0.138829831,0.130987658
0.138611523,0.154476115,0.132157817,0.142214635
0.080219386,0.086180274,0.07719825,0.083519049
0.095306973,0.119218714,0.089937204,0.103907192
0.196391912,0.196942736,0.188827847,0.199603641
0.180730007,0.145465858,0.191391342,0.171837369
0.082229982,0.126471378,0.073435907,0.100469355
0.071161771,0.09185725,0.066716745,0.078623011
0.101580378,0.122958281,0.098520923,0.108233474
0.073698718,0.089063955,0.06802261,0.077840745
0.073677692,0.089035876,0.071279318,0.079282786
0.2266019,0.201671224,0.237864134,0.222604089
0.22683478,0.211821545,0.229762116,0.226296836
0.130511291,0.128586493,0.131845967,0.130942935
0.174404306,0.1588487,0.175989059,0.165063662
0.078344021,0.083393149,0.074466897,0.080830196
0.085152234,0.098096567,0.078505915,0.089746211
0.077632771,0.089206247,0.074646148,0.081107243
0.139861418,0.134185387,0.137389347,0.135006603
0.137975382,0.117410257,0.138999476,0.132094374
0.142150418,0.136037079,0.138731417,0.136454315
0.210611591,0.160770995,0.215503382,0.190839241
0.161952225,0.141542918,0.168505307,0.163644271
0.163595937,0.147193581,0.160921013,0.165037507
0.165553301,0.142326035,0.172157863,0.164738524
0.189659855,0.192415143,0.193018448,0.191591623
0.158663644,0.143136967,0.158406695,0.154819226
0.105364557,0.109948707,0.097997734,0.10821976
0.147804406,0.156342471,0.142716265,0.151909202
0.168727292,0.192786369,0.159539788,0.180011957
0.048474826,0.087240447,0.043552369,0.054423595
0.05262562,0.084142306,0.047452093,0.060009491
0.082792657,0.072678025,0.086554757,0.079568382
0.142846518,0.12866479,0.136730136,0.14516329
0.144193847,0.146052282,0.137602716,0.146137381
0.159419446,0.130232958,0.159517482,0.145983155
0.138851541,0.121184433,0.134848417,0.140027052
0.126407335,0.116192243,0.123543924,0.12192277
0.104015981,0.082052174,0.107027065,0.097195621
0.131431845,0.116744268,0.129793036,0.137850976
0.162906556,0.169102522,0.160014498,0.16415542
0.136315283,0.126926102,0.135977392,0.130127667
0.197608894,0.175194826,0.197180866,0.189711575
0.123515128,0.10765431,0.122357356,0.11817401
0.119105304,0.118231151,0.112519529,0.122321363
0.081664232,0.099111227,0.075136048,0.089040954
0.062156417,0.082378689,0.05673696,0.069255743
0.15519121,0.141828706,0.154136351,0.155768494
0.142773211,0.133091012,0.144594084,0.148248517
0.137473949,0.119484091,0.137071625,0.131395545
0.142090559,0.116343849,0.146872634,0.132639455
0.137344543,0.170218091,0.132048697,0.148169601
0.072119343,0.094280504,0.065554915,0.079178318
0.125939686,0.140169314,0.115418366,0.133826289
0.063990696,0.084515912,0.059673847,0.071236764
0.084979196,0.104892619,0.077764625,0.092227149
0.122005004,0.159555642,0.111169181,0.135813101
0.069671113,0.097820486,0.063734248,0.077788503
0.067983713,0.083346643,0.062788601,0.074723271
0.120658764,0.13434593,0.113592439,0.123843732
0.082781093,0.100439145,0.078661525,0.091157884
0.072697074,0.086682699,0.067409721,0.075999773
0.0644877,0.074533144,0.061484689,0.064188243
0.07669152,0.082588497,0.073376814,0.07713498
0.064251767,0.077692377,0.059330265,0.06804154
0.167384813,0.211547313,0.155654462,0.179736983
0.071602085,0.096945411,0.064171192,0.081601695
0.072893764,0.089862418,0.067953347,0.07753724
0.148670007,0.157069642,0.141286424,0.150302517
0.1338445,0.136667623,0.129074694,0.130788004
0.214612214,0.213977511,0.205314386,0.212585156
0.180403331,0.210504458,0.174151367,0.191082063
0.241276639,0.246401162,0.235115215,0.251836379
0.192162369,0.178331746,0.19282552,0.182640351
0.144436961,0.131100881,0.139606075,0.141037931
0.217581235,0.179285525,0.220416375,0.203342802
0.194976368,0.199904314,0.190705432,0.201697533
0.174143676,0.181100105,0.169038332,0.179411463
0.121747239,0.120433156,0.118737213,0.119277284
0.141558532,0.1211611,0.142937246,0.133934201
0.200407895,0.236241422,0.190991565,0.215515365
0.191520294,0.201305363,0.187532031,0.197888531
0.270596145,0.25214108,0.269950978,0.25841371
0.216125756,0.223704806,0.205697541,0.214080283
0.110514961,0.135588911,0.101423824,0.11465324
0.172426772,0.217423271,0.156330444,0.175547223
0.235900351,0.195966457,0.240258568,0.228136823
0.305316199,0.291086337,0.305814523,0.298728911
0.22424108,0.211945292,0.227900615,0.224507075
0.137859907,0.173066448,0.125025278,0.141850122
0.119498106,0.141115064,0.109802855,0.122532887
0.125544202,0.162779266,0.119541752,0.140485992
0.124500068,0.156554099,0.112771375,0.128777323
0.089756834,0.116111478,0.083126642,0.102493655
0.098692421,0.117474434,0.091033591,0.107289563
0.140030088,0.129899777,0.139270565,0.136630377
0.154430442,0.158579548,0.155562976,0.165498391
0.196140927,0.232562282,0.187664322,0.203322509
0.220742857,0.220269707,0.216654653,0.223335068
0.136161923,0.15584501,0.128635792,0.141761825
0.170267539,0.169687975,0.170714065,0.163191746
0.212325696,0.213469406,0.209739608,0.209038858
0.145939749,0.15989026,0.132910011,0.145376358
0.236304674,0.242739686,0.23445234,0.236503111
0.159825789,0.189684545,0.153153974,0.166113551
0.085017503,0.102801825,0.079279464,0.092251052
0.14577552,0.156430841,0.145646659,0.149151875
0.13635475,0.138549078,0.135560545,0.138323205
0.146968765,0.15008497,0.146065273,0.146683771
0.139085911,0.138997143,0.139008778,0.137629239
0.187704709,0.18826321,0.184881106,0.186092903
0.158465236,0.161875385,0.155835316,0.157779104
0.115226808,0.112902689,0.112912915,0.112886761
0.115496913,0.108275459,0.118078017,0.110329161
0.119949475,0.111183231,0.120417834,0.113177767
0.125483638,0.133135636,0.125072066,0.129274063
0.109544454,0.120503899,0.105413325,0.114862386
0.138063651,0.160783345,0.131721804,0.147024612
0.165082449,0.170073812,0.161438476,0.163051825
0.159136071,0.173968279,0.12660479,0.164743603
0.181568184,0.159409461,0.180100006,0.175118993
0.241366886,0.220319641,0.237870419,0.238849616
0.158639772,0.156348818,0.156364751,0.158074733
0.149113385,0.145582899,0.149443617,0.14258105
0.259529972,0.276474934,0.250485281,0.259351776
0.1523844,0.148067845,0.151658291,0.149321945
0.176355346,0.156121092,0.174956053,0.165853819
0.108237343,0.094563552,0.113004055,0.109401955
0.102116764,0.093112744,0.107082741,0.105479891
0.184008272,0.175979868,0.183725861,0.184609632
0.195498683,0.157563384,0.200131752,0.189517071
0.158374723,0.125981606,0.162174298,0.148274779
0.203159574,0.190856783,0.204046614,0.192595781
0.207218885,0.20313869,0.20332239,0.207374843
0.144407414,0.127960899,0.147494318,0.135996514
0.13759415,0.13883054,0.136427971,0.139781141
0.212802061,0.210152668,0.211664653,0.210179178
0.154174472,0.155135701,0.149894054,0.15886908
0.151139826,0.156485663,0.145991236,0.150310109
0.187740289,0.180001303,0.187860735,0.185221702
0.206848221,0.189576364,0.211486711,0.198280628
0.135420738,0.153131457,0.12885038,0.137685868
0.167792328,0.188312363,0.162596781,0.169391514
0.210614785,0.220873357,0.196503268,0.199549008
0.186947883,0.150002473,0.192989993,0.173109755
0.105605215,0.112377516,0.101466977,0.107315875
0.126562268,0.113510028,0.124670538,0.124307186
0.159769243,0.155495483,0.157453025,0.154381734
0.267399913,0.271180749,0.2737392,0.284037423
0.183020235,0.20932409,0.177018479,0.197969428
0.176536299,0.199981927,0.171326742,0.187217026
0.283573647,0.271970717,0.276255652,0.278149713
0.385790155,0.433345805,0.364506931,0.370963255
0.321316189,0.366608247,0.314703589,0.31920506
0.295072058,0.288320548,0.298102472,0.298036267
0.101701975,0.1153485,0.097821317,0.110706507
0.066134389,0.087968505,0.059954875,0.075169753
0.098130055,0.110215555,0.091245633,0.104564993
0.098762827,0.124312494,0.091270542,0.106687682
0.135575767,0.131764345,0.132911317,0.133537015
0.122363042,0.114562804,0.12094063,0.111797788
0.149150263,0.159440961,0.146136774,0.149335413
0.135521675,0.142280991,0.134144006,0.136118474
0.069376865,0.090093726,0.06121013,0.076838221
0.077692473,0.089711215,0.072659501,0.086771616
0.126255563,0.115726279,0.128943422,0.121595246
0.079014881,0.079263012,0.079200282,0.078452569
0.066068452,0.073891208,0.063517587,0.067357897
0.086826759,0.104344157,0.080470844,0.093070332
0.067462094,0.071489952,0.066070086,0.068349833
0.054917405,0.069036533,0.051991361,0.058388085
0.052348426,0.068204356,0.04998764,0.056555557
0.174359526,0.216825754,0.158649028,0.193310606
0.071746212,0.081017258,0.06936349,0.074355747
0.081133912,0.090959785,0.076332235,0.081045327
0.066176934,0.077301373,0.06242051,0.069113601
0.159448448,0.165962483,0.157988648,0.162003956
0.077151713,0.080415868,0.07845382,0.078449962
0.091147803,0.107870427,0.085520859,0.096146715
0.181500541,0.193996351,0.176628275,0.18337399
0.130283219,0.140943862,0.121877346,0.139087935
0.176947887,0.179255708,0.169515146,0.172956729
0.156558533,0.169706375,0.151673817,0.165632473
0.133394623,0.127084698,0.134466208,0.136572659
0.119138522,0.126952238,0.114905187,0.122089873
0.141020419,0.121293941,0.139816996,0.133018591
0.146309126,0.117906878,0.147211798,0.132922823
0.237108833,0.241106277,0.232591597,0.244594296
0.243307871,0.256462186,0.23755535,0.23547197
0.171948283,0.196964075,0.165102545,0.183482547
0.224449002,0.212004072,0.224092714,0.205339238
0.27657927,0.250561814,0.283192432,0.267920762
0.279771334,0.327107955,0.266724779,0.285543031
0.223368094,0.233011297,0.218470239,0.230749486
0.280783389,0.251289961,0.288231078,0.270777781
0.278787335,0.213552462,0.284157459,0.249519055
0.286829716,0.241286581,0.295971878,0.277491602
0.271887245,0.236728862,0.280043941,0.264725348
0.274799205,0.222982638,0.282570264,0.260906248
0.247462872,0.208741911,0.250557033,0.226192027
0.245447562,0.210028921,0.254055406,0.231481815
0.268728133,0.203365734,0.280230992,0.248571596
0.285585699,0.267479968,0.28319168,0.279702331
0.236934493,0.20152479,0.242530801,0.217145739
0.287537966,0.27012957,0.286987279,0.275529613
0.30487919,0.295387553,0.302475953,0.303779213
0.279487956,0.275409871,0.276597032,0.275072351
0.222220922,0.21211014,0.214456373,0.213228344
0.245137844,0.219713525,0.247565577,0.226286635
0.260615669,0.222004292,0.267020821,0.237933444
0.234263046,0.195575312,0.243121293,0.228328051
0.201185875,0.17158721,0.210877243,0.19091127
0.27354462,0.224354509,0.283242447,0.258148737
0.22802537,0.185597355,0.237596288,0.210676588
0.18809799,0.14916894,0.197242322,0.182459265
0.283283477,0.240406049,0.294527725,0.272622563
0.188941217,0.187594462,0.187556257,0.191089294
0.144965821,0.156195825,0.141867719,0.150571775
0.12008083,0.123355873,0.11559882,0.119849209
0.159449505,0.155541382,0.159163907,0.155898786
0.132877838,0.139127219,0.131540469,0.139125021
0.171644261,0.189305832,0.172767427,0.178959518
0.175319312,0.17078614,0.165673783,0.156618452
0.13782464,0.141421356,0.135529517,0.139089581
0.190506774,0.202970077,0.184168159,0.194430874
0.403907178,0.341112612,0.411827479,0.375080691
0.18473169,0.184762872,0.178319308,0.175680688
0.249961474,0.215561274,0.251149637,0.226457714
0.154296676,0.17476347,0.148622622,0.163997628
0.233403967,0.237482377,0.226914853,0.233665219
0.272816038,0.291220605,0.279354597,0.295173579
0.237969411,0.244926442,0.234319562,0.243054287
