bilinear-0.6,bilinear-2.0
0.143427418,0.16911912
0.212396291,0.183528062
0.157514716,0.152761625
0.08535316,0.097436409
0.116849605,0.128369247
0.204147533,0.248166682
0.223361785,0.264220541
0.16215508,0.199994576
0.099573344,0.103579236
0.088384321,0.108546803
0.088675126,0.123785251
0.099105784,0.106140146
0.059940786,0.096369602
0.052876172,0.087879286
0.09876581,0.13723021
0.101811886,0.141385846
0.119124921,0.138519052
0.173933339,0.195809483
0.102520586,0.133712887
0.158601877,0.153238047
0.159116823,0.163957328
0.098940856,0.127188057
0.184285773,0.192934988
0.103166902,0.162712749
0.04560711,0.083902866
0.104643299,0.165886444
0.09730189,0.156267747
0.106584968,0.169807646
0.104231039,0.163967792
0.142952794,0.186048311
0.117506185,0.170267615
0.094375862,0.114238406
0.109525663,0.120984534
0.115932325,0.101694191
0.102225198,0.137913666
0.088986594,0.094675349
0.106480956,0.119215834
0.115049949,0.125815889
0.072378357,0.119515014
0.14862754,0.177176036
0.173482486,0.230541499
0.121997539,0.172076672
0.11026045,0.16664773
0.182647957,0.221039386
0.126069712,0.158064902
0.152632311,0.192607118
0.096492371,0.141540488
0.090025266,0.132683659
0.134703594,0.168638451
0.159911892,0.165403969
0.146005956,0.11975147
0.178440957,0.200141721
0.158631874,0.211013162
0.128515328,0.14006854
0.096168697,0.165763542
0.157401217,0.234634954
0.095379892,0.144135895
0.105631676,0.164600557
0.1490993,0.207608917
0.169029344,0.193234703
0.096806286,0.115932494
0.112142518,0.148872901
0.171327149,0.178522394
0.143847518,0.167374524
0.079618948,0.100333719
0.09594974,0.123837936
0.109633321,0.154662953
0.19131271,0.23949119
0.098346827,0.19365002
0.101526641,0.17102055
0.173928751,0.220609613
0.244451788,0.292517252
0.238829303,0.334194833
0.208807093,0.289398772
0.06871754,0.097910734
0.038105036,0.06956673
0.067561014,0.097619533
0.062156001,0.087167909
0.10688929,0.12565121
0.115421834,0.107679393
0.120607117,0.118648821
0.09734753,0.12756761
0.034445128,0.074992632
0.039564827,0.085243408
0.120769575,0.112270784
0.061063265,0.093118931
0.044750496,0.085015357
0.058287736,0.079286576
0.05277409,0.081698854
0.040154644,0.06163125
0.029548535,0.068793307
0.072613701,0.107949359
0.042738469,0.089885781
0.06856615,0.082234555
0.049494553,0.071068381
0.138794666,0.184174391
0.085393459,0.111893583
0.060698226,0.086294172
0.120930139,0.146933478
0.079292186,0.15432282
0.144102924,0.137978737
0.098120981,0.153875319
0.109474975,0.144173675
0.087281279,0.103265586
0.126580271,0.140201082
0.144503493,0.149436365
0.161462433,0.27032433
0.163660857,0.184967476
0.099349125,0.176011832
0.215154075,0.171127144
0.247705168,0.173727932
0.212569444,0.297628109
0.140320728,0.253749155
0.222942407,0.260020693
0.225282009,0.245421998
0.222330588,0.274819791
0.239593118,0.242498607
0.242530692,0.257171905
0.219605787,0.222993515
0.234864293,0.246347808
0.223414614,0.282109338
0.239745234,0.314708746
0.201673639,0.201652752
0.221028655,0.306760871
0.226552792,0.275229059
0.199402165,0.218913798
0.163344393,0.177961259
0.193600058,0.213753725
0.242003205,0.24051496
0.202125524,0.247903984
0.168661552,0.19589262
0.224056227,0.250902945
0.217240547,0.253955068
0.157994039,0.210217407
0.240936329,0.276745976
0.160039008,0.163889243
0.113903518,0.117620222
0.094589238,0.100765434
0.124228078,0.139425168
0.093270021,0.117565588
0.101087212,0.171723992
0.158658838,0.13378809
0.103553326,0.133658049
0.123415571,0.156073704
0.306525061,0.366687981
0.173087221,0.16945249
0.225512686,0.185782551
0.111512567,0.135332198
0.180159714,0.212765262
0.199533566,0.270403333
0.177979258,0.240646761
0.165403227,0.217101999
0.168753684,0.228374171
0.062825942,0.106296508
0.114219863,0.133511672
0.20694945,0.212027013
0.19600206,0.192291601
0.197169123,0.196631922
0.188671778,0.212472367
0.161373486,0.183992486
0.143096985,0.138547662
0.158284738,0.187020586
0.123726035,0.16467964
0.161454165,0.1603398
0.181926416,0.216894013
0.215402714,0.326957516
0.164447095,0.129742783
0.205224821,0.219297946
0.135025519,0.208838627
0.177645032,0.206829593
0.146397691,0.2259902
0.157796615,0.212675004
0.171749364,0.20518963
0.199908971,0.210838609
0.206347889,0.190992427
0.21442025,0.163312587
0.165424185,0.230713219
0.176705769,0.208358759
0.131409371,0.162775298
0.151921699,0.155637656
0.148139821,0.209380075
0.120401544,0.1650323
0.143116007,0.163988615
0.111239862,0.168958836
0.117719886,0.126658165
0.197601691,0.175459302
0.219485171,0.297056362
0.196916758,0.267965455
0.179756013,0.289192938
0.12201285,0.128003378
0.163061519,0.231546561
0.155360252,0.247372576
0.101899048,0.153543617
0.069176004,0.113385744
0.066233033,0.116946588
0.065841415,0.099708176
0.179607166,0.224370046
0.138637202,0.187627794
0.143017615,0.184924767
0.121280398,0.15896848
0.049918403,0.107861597
0.044792975,0.090447523
0.160826338,0.210456605
0.166321809,0.203192229
0.158976965,0.233218862
0.158676312,0.22705169
0.186914694,0.187735373
0.188077166,0.219608411
0.19787134,0.20453096
0.166627879,0.187590043
0.075535062,0.125037576
0.072918006,0.117519866
0.117829696,0.156712854
0.137487933,0.186288401
0.082925496,0.125144529
0.09151949,0.138587416
0.152871457,0.183615086
0.112153743,0.160985745
0.18309139,0.218742803
0.158782658,0.186054019
0.118422887,0.185878679
0.189554181,0.250013986
0.154082594,0.177189355
0.189456637,0.199189416
0.167350417,0.200713263
0.107901142,0.154992232
0.100305508,0.142194798
0.200619409,0.208635315
0.15678594,0.220400843
0.133942145,0.149769078
0.128098387,0.185585098
0.132686524,0.146014373
0.108652236,0.163224382
0.066662462,0.107166132
0.071002871,0.116346137
0.056630715,0.103433538
0.072628504,0.111826814
0.078254865,0.126645936
0.084853519,0.099421203
0.136844878,0.167527328
0.091268127,0.143174143
0.21323569,0.251436623
0.112969572,0.135764376
0.081321448,0.139632117
0.116334004,0.159563091
0.092746251,0.124322218
0.10188067,0.146378513
0.116946114,0.155480558
0.132277944,0.180612849
0.205243919,0.24518962
0.072774737,0.109503747
0.10950476,0.149918367
0.078734466,0.113068998
0.069338162,0.116434833
0.118714977,0.152879809
0.178051976,0.174659841
0.186000089,0.197969963
0.085693973,0.126127805
0.073776365,0.113821584
0.087837881,0.133023167
0.123116596,0.160513908
0.07113046,0.124477742
0.074088506,0.127406857
0.112232304,0.150296404
0.19932391,0.217417149
0.063844879,0.112974884
0.060943998,0.111629735
0.069693674,0.120726392
0.079529358,0.132487906
0.119638594,0.158241542
0.051089765,0.096098058
0.175465161,0.164315358
0.121204766,0.165660715
0.05370316,0.099860994
0.056411773,0.099560523
0.052613228,0.098997393
0.052720714,0.103701725
0.055394278,0.107496306
0.055745771,0.100341973
0.15440843,0.223577031
0.09565921,0.142970387
0.070855505,0.123667149
0.067611857,0.110812755
0.09548535,0.136587572
0.085164327,0.131146266
0.111002334,0.149479513
0.157079168,0.153820816
0.170789007,0.176829218
0.163862414,0.170869252
0.069399109,0.120890993
0.085490657,0.149516225
0.106685166,0.14118893
0.179513987,0.191954889
0.112577241,0.158583059
0.123561531,0.15149381
0.11675009,0.130437073
0.141247021,0.170865984
0.159175153,0.185214282
0.137558907,0.166947428
0.121664267,0.171921974
0.076817779,0.112772788
0.077977345,0.117080304
0.102596603,0.137440448
0.164437749,0.135389915
0.149872124,0.15817177
0.158760074,0.175971577
0.158715705,0.226334708
0.169814805,0.219987951
0.119666081,0.185192068
0.078825096,0.134472495
0.087842731,0.155925074
0.074369655,0.126552594
0.073012443,0.124666623
0.083054651,0.122649426
0.080068323,0.128636202
0.095316278,0.130944409
0.078685682,0.125617435
0.118428959,0.154366924
0.120176713,0.159043674
0.07758053,0.114879722
0.086299751,0.124115819
0.124804391,0.168081641
0.100814686,0.159573731
0.093670876,0.120099674
0.12813318,0.151057635
0.092335548,0.140077542
0.109166455,0.166136984
0.119979699,0.175950887
0.112629388,0.171862064
0.129121098,0.170192348
0.098461764,0.150283809
0.090357601,0.121884421
0.132671575,0.179985191
0.128581737,0.174103096
0.163077852,0.191309015
0.169458976,0.17531017
0.117494184,0.168637271
0.100322612,0.127653057
0.089541044,0.118703718
0.139786925,0.135105994
0.068460227,0.093400547
0.065958235,0.080587689
0.084979619,0.101404342
0.089416984,0.120103238
0.09868477,0.131356674
0.130333419,0.196800138
0.185478164,0.192874462
0.11390268,0.143182393
0.099084611,0.11923095
0.095680583,0.112865121
0.125630893,0.160327833
0.074061059,0.109561457
0.093512555,0.195619864
0.167100201,0.149634233
0.071403382,0.105834618
0.087127857,0.114597767
0.171620177,0.199153805
0.072159984,0.099985975
0.120930498,0.153127528
0.102108011,0.142725486
0.101270285,0.128005831
0.110415852,0.170422207
0.095777426,0.141904363
0.145718126,0.167288898
0.144826682,0.164411901
0.160562642,0.243544622
0.158088827,0.239866464
0.174076057,0.26030278
0.163279735,0.245394593
